No.,name,address,score,tags,distance,price:lunch,price:dinner
150,LeCafeRETRO,東京都新宿区西早稲田2-1-18 １Ｆ??Ｂ１Ｆ,3.23,カフェ、イタリアン、ラウンジ,早稲田（メトロ）駅 328m,～￥999,"￥1,000～￥1,999"
151,三徳西早稲田店,東京都新宿区西早稲田3-12-5,3.13,弁当、デリカテッセン、和菓子,面影橋駅 366m,～￥999,～￥999
152,福源,東京都新宿区西早稲田1-13-26,3,中華料理,早稲田（都電）駅 273m,-,"￥3,000～￥3,999"
153,02cafe,東京都新宿区西早稲田1-4-18,3.08,喫茶店、コーヒー専門店、カフェ,早稲田（都電）駅 336m,～￥999,-
154,ママキムチ,東京都新宿区西早稲田1-9-9,3.09,韓国料理,早稲田（都電）駅 228m,～￥999,-
155,ムルシエラゴ,東京都新宿区西早稲田1-6-3 フェリオ西早稲田ビル 1F,3.07,カフェ,早稲田（都電）駅 157m,～￥999,"￥1,000～￥1,999"
156,諏訪金属,東京都新宿区西早稲田2-20-3 1F,3.18,ワインバー、バー,西早稲田駅 52m,-,"￥1,000～￥1,999"
157,伊丹亭,東京都新宿区西早稲田2-18-19,3.12,居酒屋,面影橋駅 355m,-,"￥4,000～￥4,999"
158,Bar壱岐,東京都新宿区西早稲田1-8-19 日興パレセゾン早稲田B 101,3.02,和食（その他）,早稲田（都電）駅 240m,-,"￥1,000～￥1,999"
159,幸せの時間,東京都新宿区西早稲田1-13-5 西早稲田ビル 1F,3.18,焼鳥、鳥料理,早稲田（都電）駅 208m,"￥1,000～￥1,999",-
160,坂,東京都新宿区西早稲田3-2-3,3.01,お好み焼き,早稲田（都電）駅 307m,-,"￥1,000～￥1,999"
161,VIVA!!!,東京都新宿区西早稲田2-20-5 1F,3.02,イタリアン、バル??バール、カフェ,西早稲田駅 85m,～￥999,"￥2,000～￥2,999"
162,インド&ネパール料理サントスティ,東京都新宿区西早稲田2-18-21 西早稲田K3ビル 1F,3.16,インド料理、ネパール料理、インドカレー,面影橋駅 345m,～￥999,"￥1,000～￥1,999"
163,サイゼリヤ西早稲田店,東京都新宿区西早稲田2-1-23 パシフィック西早稲田1F,3.01,ファミレス、イタリアン、パスタ,早稲田（メトロ）駅 409m,"￥1,000～￥1,999",～￥999
164,かどや食堂,東京都新宿区西早稲田1-6-3 フェリオ西早稲田 1F,3.02,居酒屋,早稲田（都電）駅 163m,～￥999,"￥2,000～￥2,999"
165,お食事処たかはし,東京都新宿区西早稲田1-1-5 滝口ビル　Ｂ１Ｆ,3.4,定食??食堂,早稲田（メトロ）駅 245m,～￥999,-
166,はなのあと,東京都新宿区西早稲田2-1-4,3.05,割烹??小料理,早稲田（メトロ）駅 348m,-,"￥4,000～￥4,999"
167,沖縄ダイニングヒロズカフェ,東京都新宿区西早稲田1-1-20,3.09,沖縄料理,早稲田（メトロ）駅 292m,"￥1,000～￥1,999",-
168,酔亭竹やま,東京都新宿区西早稲田1-16-8 虎屋ビル 1F,3.02,居酒屋,早稲田（都電）駅 66m,-,"￥1,000～￥1,999"
169,NENOi,東京都新宿区西早稲田2-4-26,3.05,カフェ,早稲田（都電）駅 428m,～￥999,-
170,エチオピアカリーキッチン高田馬場店,東京都新宿区西早稲田3-28-1 ミスミビル　１Ｆ,3.63,インドカレー、カレーライス、アジア??エスニック料理（その他）,面影橋駅 374m,～￥999,～￥999
171,Oidon,東京都新宿区西早稲田1-20-10 黒澤ビル 1F,3.09,カフェ、居酒屋、ビストロ,早稲田（都電）駅 134m,～￥999,"￥1,000～￥1,999"
172,ライブ&ダイニングバー音楽室DX,東京都新宿区西早稲田3-20-4 金子ビル B1F,3.01,バー??お酒（その他）,面影橋駅 316m,-,"￥2,000～￥2,999"
173,みちのく,東京都新宿区西早稲田3丁目29-3,3,居酒屋,面影橋駅 367m,-,"￥2,000～￥2,999"
174,石原松花堂西早稲田支店,東京都新宿区西早稲田3-21-2,3.07,和菓子,面影橋駅 338m,～￥999,-
175,ジャズナッティ,東京都新宿区西早稲田1-17-4,3.08,喫茶店,早稲田（都電）駅 123m,-,～￥999
176,Ilove豆花,東京都新宿区西早稲田3-21-5,3.34,カフェ、スイーツ（その他）,面影橋駅 331m,～￥999,～￥999
177,馬場小食堂,東京都新宿区西早稲田3-21-2 B1F,3.02,中華料理,面影橋駅 331m,-,～￥999
